parameter,description,type,hex_address,address,resolution,alterability
Loop.Diagnostics.WrkOPHigh,Working upper output limit,float32,0x0763,1891,Same as Loop.Main.WorkingOutput,RO
Loop.Diagnostics.LoopBreakDeltaPV,Loop break change in PV,float32,0x0764,1892,Same as Loop.Main.PV,RW
Loop.Diagnostics.LineVoltage,Measured line voltage,float32,0x0765,1893,1dp,RO
Loop.Diagnostics.SchedCh1PB,Scheduled ch1 proportional band,float32,0x0766,1894,Same as Loop.Main.PV,RO
Loop.Diagnostics.SchedCh2PB,Scheduled ch2 proportional band,float32,0x0767,1895,Same as Loop.Main.PV,RO
Loop.Diagnostics.SchedTI,Scheduled integral time,float32,0x0768,1896,0dp,RO
Loop.Diagnostics.SchedTD,Scheduled derivative time,float32,0x0769,1897,0dp,RO
Loop.Diagnostics.SchedCBH,Scheduled cutback high threshold,float32,0x076a,1898,Same as Loop.Main.PV,RO
Loop.Diagnostics.SchedMR,Scheduled manual reset value,float32,0x076b,1899,Same as Loop.Main.WorkingOutput,RO
Loop.Diagnostics.InAuto,Auto mode selected,bool,0x076c,1900,Not applicable,RO
Loop.Diagnostics.InManual,Manual or F_Man mode selected,bool,0x076d,1901,Not applicable,RO
Loop.Diagnostics.InTrack,Track mode is active,bool,0x076f,1903,Not applicable,RO
Loop.Diagnostics.InHold,Hold mode is active,bool,0x0770,1904,Not applicable,RO
Loop.Diagnostics.SchedCBL,Scheduled cutback low threshold,float32,0x0771,1905,Same as Loop.Main.PV,RO
Loop.Diagnostics.AtLimit,Output is saturated,bool,0x0772,1906,Not applicable,RO
Loop.Diagnostics.Demo,Enable demo mode,bool,0x0773,1907,Not applicable,RW
Loop.Diagnostics.NotRemote,Loop not ready to receive remote setpoint,bool,0x0774,1908,Not applicable,RO
Loop.Diagnostics.MasterReady,Loop ready to run as cascade master,bool,0x0775,1909,Not applicable,RO
AI.1.Units,Units of the PV,uint8,0x0781,1921,Not applicable,RW
AI.1.Resolution,Decimal point position,uint8,0x0782,1922,Not applicable,RW
AI.1.ShuntValue,Shunt value,float32,0x0785,1925,2dp,RW
AI.1.PVOffset,PV offset,float32,0x0788,1928,2dp,RW
AI.1.SensorBreakType,Sensor break type,uint8,0x078a,1930,Not applicable,RW
AI.1.SensorBreakOutput,Sensor break output,bool,0x078b,1931,Not applicable,RO
AI.1.PVStatus,PV status,uint8,0x078c,1932,Not applicable,RO
AI.1.ImpedanceMode,Impedance Mode,bool,0x078d,1933,Not applicable,RW
AI.1.Linearisation,Linearisation Type,uint8,0x078e,1934,Not applicable,RW
AI.2.Type,Input type,uint8,0x0790,1936,Not applicable,RW
AI.2.Units,Units of the PV,uint8,0x0791,1937,Not applicable,RW
AI.2.Resolution,Decimal point position,uint8,0x0792,1938,Not applicable,RW
AI.2.InputHigh,Input high limit,float32,0x0793,1939,2dp,RW
AI.2.InputLow,Input low limit,float32,0x0794,1940,2dp,RW
AI.2.ShuntValue,Shunt value,float32,0x0795,1941,2dp,RW
AI.2.RangeHigh,Range high,float32,0x0796,1942,2dp,RW
AI.2.RangeLow,Range Low,float32,0x0797,1943,2dp,RW
AI.2.PVOffset,PV offset,float32,0x0798,1944,2dp,RW
AI.2.CJCType,Cold junction compensation type,uint8,0x0799,1945,Not applicable,RW
AI.2.SensorBreakType,Sensor break type,uint8,0x079a,1946,Not applicable,RW
AI.2.SensorBreakOutput,Sensor break output,bool,0x079b,1947,Not applicable,RO
AI.2.PVStatus,PV status,uint8,0x079c,1948,Not applicable,RO
AI.2.ImpedanceMode,Impedance Mode,bool,0x079d,1949,Not applicable,RW
AI.2.Linearisation,Linearisation Type,uint8,0x079e,1950,Not applicable,RW
IO.IO1.PV,Process variable,float32,0x07a0,1952,"0dp, or if wired, inherited from wire source",RW
IO.IO1.Status,PV Status,uint8,0x07a1,1953,Not applicable,RO
IO.IO1.Output,Output,float32,0x07a6,1958,1dp,RO
IO.IO1.MinOnTime,Minimum on time,float32,0x07a7,1959,2dp,RW
IO.IO1.CycleTime,Cycle time,float32,0x07a8,1960,2dp,RW
IO.IO1.Inertia,Inertia,float32,0x07aa,1962,2dp,RW
IO.IO1.Backlash,Backlash,float32,0x07ab,1963,2dp,RW
IO.IO1.StandbyAction,Standby action,uint8,0x07ac,1964,Not applicable,RW
IO.IO1.FallbackVal,Fallback value,float32,0x07ad,1965,Same as IO.IO1.Output,RW
IO.IO2.PV,Process variable,float32,0x07b0,1968,"0dp, or if wired, inherited from wire source",RW
IO.IO2.Status,PV Status,uint8,0x07b1,1969,Not applicable,RO
IO.IO2.Output,Output,float32,0x07b6,1974,1dp,RO
IO.IO2.MinOnTime,Minimum on time,float32,0x07b7,1975,2dp,RW
IO.IO2.CycleTime,Cycle time,float32,0x07b8,1976,2dp,RW
IO.IO2.Inertia,Inertia,float32,0x07ba,1978,2dp,RW
IO.IO2.Backlash,Backlash,float32,0x07bb,1979,2dp,RW
IO.IO2.StandbyAction,Standby action,uint8,0x07bc,1980,Not applicable,RW
IO.IO2.FallbackVal,Fallback value,float32,0x07bd,1981,Same as IO.IO2.Output,RW
IO.OP3.PV,Process variable,float32,0x07c0,1984,"0dp, or if wired, inherited from wire source",RW
IO.OP3.Status,PV Status,uint8,0x07c1,1985,Not applicable,RO
IO.OP3.Output,Output,float32,0x07c6,1990,1dp,RO
IO.OP3.MinOnTime,Minimum on time,float32,0x07c7,1991,2dp,RW
IO.OP3.CycleTime,Cycle time,float32,0x07c8,1992,2dp,RW
IO.OP3.Inertia,Inertia,float32,0x07ca,1994,2dp,RW
IO.OP3.Backlash,Backlash,float32,0x07cb,1995,2dp,RW
IO.OP3.StandbyAction,Standby action,uint8,0x07cc,1996,Not applicable,RW
IO.OP3.FallbackVal,Fallback value,float32,0x07cd,1997,Same as IO.OP3.Output,RW
IO.IO4.PV,Process variable,float32,0x07d0,2000,"0dp, or if wired, inherited from wire source",RW
IO.IO4.Status,PV Status,uint8,0x07d1,2001,Not applicable,RO
IO.IO4.Output,Output,float32,0x07d6,2006,1dp,RO
IO.IO4.MinOnTime,Minimum on time,float32,0x07d7,2007,2dp,RW
IO.IO4.CycleTime,Cycle time,float32,0x07d8,2008,2dp,RW
IO.IO4.Inertia,Inertia,float32,0x07da,2010,2dp,RW
IO.IO4.Backlash,Backlash,float32,0x07db,2011,2dp,RW
IO.IO4.StandbyAction,Standby action,uint8,0x07dc,2012,Not applicable,RW
IO.IO4.FallbackVal,Fallback value,float32,0x07dd,2013,Same as IO.IO4.Output,RW
IO.LA.PV,Process variable,float32,0x07e0,2016,"0dp, or if wired, inherited from wire source",RW
IO.LA.Status,PV Status,uint8,0x07e1,2017,Not applicable,RO
IO.LA.DemandHigh,Demand High,float32,0x07e2,2018,Same as IO.LA.PV,RW
IO.LA.DemandLow,Demand low,float32,0x07e3,2019,Same as IO.LA.PV,RW
IO.LA.OutputHigh,Output high,float32,0x07e4,2020,1dp,RW
IO.LA.OutputLow,Output low,float32,0x07e5,2021,1dp,RW
IO.LA.Output,Output,float32,0x07e6,2022,1dp,RO
IO.LA.MinOnTime,Minimum on time,float32,0x07e7,2023,2dp,RW
IO.LA.CycleTime,Cycle time,float32,0x07e8,2024,2dp,RW
IO.LA.Sense,Sense of the input or output,bool,0x07e9,2025,Not applicable,RW
IO.LA.Inertia,Inertia,float32,0x07ea,2026,2dp,RW
IO.LA.Backlash,Backlash,float32,0x07eb,2027,2dp,RW
IO.LA.StandbyAction,Standby action,uint8,0x07ec,2028,Not applicable,RW
IO.LA.FallbackVal,Fallback value,float32,0x07ed,2029,Same as IO.LA.Output,RW
IO.LB.PV,Process variable,float32,0x07f0,2032,"0dp, or if wired, inherited from wire source",RW
IO.LB.Status,PV Status,uint8,0x07f1,2033,Not applicable,RO
IO.LB.OutputHigh,Output high,float32,0x07f4,2036,1dp,RW
IO.LB.OutputLow,Output low,float32,0x07f5,2037,1dp,RW
IO.LB.Output,Output,float32,0x07f6,2038,1dp,RO
IO.LB.MinOnTime,Minimum on time,float32,0x07f7,2039,2dp,RW
IO.LB.CycleTime,Cycle time,float32,0x07f8,2040,2dp,RW
IO.LB.Sense,Sense of the input or output,bool,0x07f9,2041,Not applicable,RW
IO.LB.Inertia,Inertia,float32,0x07fa,2042,2dp,RW
IO.LB.Backlash,Backlash,float32,0x07fb,2043,2dp,RW
IO.LB.StandbyAction,Standby action,uint8,0x07fc,2044,Not applicable,RW
IO.LB.FallbackVal,Fallback value,float32,0x07fd,2045,Same as IO.LB.Output,RW
OptionDIO.D1.Ident,Ident,uint8,0x0800,2048,Not applicable,RO
OptionDIO.D1.Type,Input or output,uint8,0x0801,2049,Not applicable,RW
OptionDIO.D1.PV,Process variable,bool,0x0802,2050,Not applicable,RW
OptionDIO.D1.Out,Output,bool,0x0803,2051,Not applicable,RO
OptionDIO.D1.Sense,Sense of the input or output,bool,0x0804,2052,Not applicable,RW
OptionDIO.D2.Ident,Ident,uint8,0x0808,2056,Not applicable,RO
OptionDIO.D2.Type,Input or output,uint8,0x0809,2057,Not applicable,RW
OptionDIO.D2.PV,Process variable,bool,0x080a,2058,Not applicable,RW
OptionDIO.D2.Out,Output,bool,0x080b,2059,Not applicable,RO
OptionDIO.D2.Sense,Sense of the input or output,bool,0x080c,2060,Not applicable,RW
OptionDIO.D3.Ident,Ident,uint8,0x0810,2064,Not applicable,RO
OptionDIO.D3.Type,Input or output,uint8,0x0811,2065,Not applicable,RW
OptionDIO.D3.PV,Process variable,bool,0x0812,2066,Not applicable,RW
OptionDIO.D3.Out,Output,bool,0x0813,2067,Not applicable,RO
OptionDIO.D3.Sense,Sense of the input or output,bool,0x0814,2068,Not applicable,RW
OptionDIO.D4.Ident,Ident,uint8,0x0818,2072,Not applicable,RO
OptionDIO.D4.Type,Input or output,uint8,0x0819,2073,Not applicable,RW
OptionDIO.D4.PV,Process variable,bool,0x081a,2074,Not applicable,RW
OptionDIO.D4.Out,Output,bool,0x081b,2075,Not applicable,RO
OptionDIO.D4.Sense,Sense of the input or output,bool,0x081c,2076,Not applicable,RW
OptionDIO.D5.Ident,Ident,uint8,0x0820,2080,Not applicable,RO
OptionDIO.D5.Type,Input or output,uint8,0x0821,2081,Not applicable,RW
OptionDIO.D5.PV,Process variable,bool,0x0822,2082,Not applicable,RW
OptionDIO.D5.Out,Output,bool,0x0823,2083,Not applicable,RO
OptionDIO.D5.Sense,Sense of the input or output,bool,0x0824,2084,Not applicable,RW
OptionDIO.D6.Ident,Ident,uint8,0x0828,2088,Not applicable,RO
OptionDIO.D6.Type,Input or output,uint8,0x0829,2089,Not applicable,RW
OptionDIO.D6.PV,Process variable,bool,0x082a,2090,Not applicable,RW
OptionDIO.D6.Out,Output,bool,0x082b,2091,Not applicable,RO
OptionDIO.D6.Sense,Sense of the input or output,bool,0x082c,2092,Not applicable,RW
OptionDIO.D7.Ident,Ident,uint8,0x0830,2096,Not applicable,RO
OptionDIO.D7.Type,Input or output,uint8,0x0831,2097,Not applicable,RW
OptionDIO.D7.PV,Process variable,bool,0x0832,2098,Not applicable,RW
OptionDIO.D7.Out,Output,bool,0x0833,2099,Not applicable,RO
OptionDIO.D7.Sense,Sense of the input or output,bool,0x0834,2100,Not applicable,RW
OptionDIO.D8.Ident,Ident,uint8,0x0838,2104,Not applicable,RO
OptionDIO.D8.Type,Input or output,uint8,0x0839,2105,Not applicable,RW
OptionDIO.D8.PV,Process variable,bool,0x083a,2106,Not applicable,RW
OptionDIO.D8.Out,Output,bool,0x083b,2107,Not applicable,RO
OptionDIO.D8.Sense,Sense of the input or output,bool,0x083c,2108,Not applicable,RW
Alarm.1.Status,Alarm status,uint8,0x0841,2113,Not applicable,RO
Alarm.1.Input,Input to be evaluated,float32,0x0842,2114,"0dp, or if wired, inherited from wire source",RW
Alarm.1.Reference,Reference,float32,0x0845,2117,"Same as Alarm.1.Input, or if wired, inherited from wire source",RW
Alarm.1.Deviation,Deviation,float32,0x0846,2118,"Same as Alarm.1.Reference, or if wired, inherited from wire source",RW
Alarm.1.Rate,Rate,float32,0x0847,2119,"Same as Alarm.1.Input, or if wired, inherited from wire source",RW
Alarm.1.RateUnits,Rate Units,uint8,0x0848,2120,Not applicable,RW
Alarm.1.FilterTime,Filter time,time_t,0x0849,2121,Set by Comms.Fixed/Option.Main.TimeFormat,RW
Alarm.1.Delay,Delay,time_t,0x084c,2124,Set by Comms.Fixed/Option.Main.TimeFormat,RW
Alarm.1.Output,Output,bool,0x084d,2125,Not applicable,RO
Alarm.1.Ack,Acknowledge,bool,0x084e,2126,Not applicable,RW
Alarm.1.Inhibit,Inhibit the alarm,bool,0x084f,2127,Not applicable,RW
Alarm.1.StandbyInhibit,Inhibit in Standby,bool,0x0850,2128,Not applicable,RW
Alarm.2.Status,Alarm status,uint8,0x0859,2137,Not applicable,RO
Alarm.2.Input,Input to be evaluated,float32,0x085a,2138,"0dp, or if wired, inherited from wire source",RW
Alarm.2.Reference,Reference,float32,0x085d,2141,"Same as Alarm.2.Input, or if wired, inherited from wire source",RW
Alarm.2.Deviation,Deviation,float32,0x085e,2142,"Same as Alarm.2.Reference, or if wired, inherited from wire source",RW
Alarm.2.Rate,Rate,float32,0x085f,2143,"Same as Alarm.2.Input, or if wired, inherited from wire source",RW
Alarm.2.RateUnits,Rate Units,uint8,0x0860,2144,Not applicable,RW
Alarm.2.FilterTime,Filter time,time_t,0x0861,2145,Set by Comms.Fixed/Option.Main.TimeFormat,RW
Alarm.2.Delay,Delay,time_t,0x0864,2148,Set by Comms.Fixed/Option.Main.TimeFormat,RW
Alarm.2.Output,Output,bool,0x0865,2149,Not applicable,RO
Alarm.2.Ack,Acknowledge,bool,0x0866,2150,Not applicable,RW
Alarm.2.Inhibit,Inhibit the alarm,bool,0x0867,2151,Not applicable,RW
Alarm.2.StandbyInhibit,Inhibit in Standby,bool,0x0868,2152,Not applicable,RW
Alarm.3.Status,Alarm status,uint8,0x0871,2161,Not applicable,RO
Alarm.3.Input,Input to be evaluated,float32,0x0872,2162,"0dp, or if wired, inherited from wire source",RW
Alarm.3.Reference,Reference,float32,0x0875,2165,"Same as Alarm.3.Input, or if wired, inherited from wire source",RW
Alarm.3.Deviation,Deviation,float32,0x0876,2166,"Same as Alarm.3.Reference, or if wired, inherited from wire source",RW
Alarm.3.Rate,Rate,float32,0x0877,2167,"Same as Alarm.3.Input, or if wired, inherited from wire source",RW
Alarm.3.RateUnits,Rate Units,uint8,0x0878,2168,Not applicable,RW
Alarm.3.FilterTime,Filter time,time_t,0x0879,2169,Set by Comms.Fixed/Option.Main.TimeFormat,RW
Alarm.3.Delay,Delay,time_t,0x087c,2172,Set by Comms.Fixed/Option.Main.TimeFormat,RW
Alarm.3.Output,Output,bool,0x087d,2173,Not applicable,RO
Alarm.3.Ack,Acknowledge,bool,0x087e,2174,Not applicable,RW
Alarm.3.Inhibit,Inhibit the alarm,bool,0x087f,2175,Not applicable,RW
Alarm.3.StandbyInhibit,Inhibit in Standby,bool,0x0880,2176,Not applicable,RW
Alarm.4.Status,Alarm status,uint8,0x0889,2185,Not applicable,RO
Alarm.4.Input,Input to be evaluated,float32,0x088a,2186,"0dp, or if wired, inherited from wire source",RW
Alarm.4.Reference,Reference,float32,0x088d,2189,"Same as Alarm.4.Input, or if wired, inherited from wire source",RW
Alarm.4.Deviation,Deviation,float32,0x088e,2190,"Same as Alarm.4.Reference, or if wired, inherited from wire source",RW
Alarm.4.Rate,Rate,float32,0x088f,2191,"Same as Alarm.4.Input, or if wired, inherited from wire source",RW
Alarm.4.RateUnits,Rate Units,uint8,0x0890,2192,Not applicable,RW
Alarm.4.FilterTime,Filter time,time_t,0x0891,2193,Set by Comms.Fixed/Option.Main.TimeFormat,RW
Alarm.4.Delay,Delay,time_t,0x0894,2196,Set by Comms.Fixed/Option.Main.TimeFormat,RW
Alarm.4.Output,Output,bool,0x0895,2197,Not applicable,RO
Alarm.4.Ack,Acknowledge,bool,0x0896,2198,Not applicable,RW
Alarm.4.Inhibit,Inhibit the alarm,bool,0x0897,2199,Not applicable,RW
Alarm.4.StandbyInhibit,Inhibit in Standby,bool,0x0898,2200,Not applicable,RW
Alarm.5.Type,Alarm type,uint8,0x08a0,2208,Not applicable,RW
Alarm.5.Status,Alarm status,uint8,0x08a1,2209,Not applicable,RO
Alarm.5.Input,Input to be evaluated,float32,0x08a2,2210,"0dp, or if wired, inherited from wire source",RW
Alarm.5.Threshold,Threshold,float32,0x08a3,2211,"Same as Alarm.5.Input, or if wired, inherited from wire source",RW
Alarm.5.Hysteresis,Hysteresis,float32,0x08a4,2212,Same as Alarm.5.Threshold,RW
Alarm.5.Reference,Reference,float32,0x08a5,2213,"Same as Alarm.5.Input, or if wired, inherited from wire source",RW
Alarm.5.Deviation,Deviation,float32,0x08a6,2214,"Same as Alarm.5.Reference, or if wired, inherited from wire source",RW
Alarm.5.Rate,Rate,float32,0x08a7,2215,"Same as Alarm.5.Input, or if wired, inherited from wire source",RW
Alarm.5.RateUnits,Rate Units,uint8,0x08a8,2216,Not applicable,RW
Alarm.5.FilterTime,Filter time,time_t,0x08a9,2217,Set by Comms.Fixed/Option.Main.TimeFormat,RW
Alarm.5.Latch,Latching type,uint8,0x08aa,2218,Not applicable,RW
Alarm.5.Block,Blocking enable,bool,0x08ab,2219,Not applicable,RW
Alarm.5.Delay,Delay,time_t,0x08ac,2220,Set by Comms.Fixed/Option.Main.TimeFormat,RW
Alarm.5.Output,Output,bool,0x08ad,2221,Not applicable,RO
Alarm.5.Ack,Acknowledge,bool,0x08ae,2222,Not applicable,RW
Alarm.5.Inhibit,Inhibit the alarm,bool,0x08af,2223,Not applicable,RW
Alarm.5.StandbyInhibit,Inhibit in Standby,bool,0x08b0,2224,Not applicable,RW
Alarm.6.Type,Alarm type,uint8,0x08b8,2232,Not applicable,RW
Alarm.6.Status,Alarm status,uint8,0x08b9,2233,Not applicable,RO
Alarm.6.Input,Input to be evaluated,float32,0x08ba,2234,"0dp, or if wired, inherited from wire source",RW
Alarm.6.Threshold,Threshold,float32,0x08bb,2235,"Same as Alarm.6.Input, or if wired, inherited from wire source",RW
Alarm.6.Hysteresis,Hysteresis,float32,0x08bc,2236,Same as Alarm.6.Threshold,RW
Alarm.6.Reference,Reference,float32,0x08bd,2237,"Same as Alarm.6.Input, or if wired, inherited from wire source",RW
Alarm.6.Deviation,Deviation,float32,0x08be,2238,"Same as Alarm.6.Reference, or if wired, inherited from wire source",RW
Alarm.6.Rate,Rate,float32,0x08bf,2239,"Same as Alarm.6.Input, or if wired, inherited from wire source",RW
Alarm.6.RateUnits,Rate Units,uint8,0x08c0,2240,Not applicable,RW
Alarm.6.FilterTime,Filter time,time_t,0x08c1,2241,Set by Comms.Fixed/Option.Main.TimeFormat,RW
Alarm.6.Latch,Latching type,uint8,0x08c2,2242,Not applicable,RW
Alarm.6.Block,Blocking enable,bool,0x08c3,2243,Not applicable,RW
Alarm.6.Delay,Delay,time_t,0x08c4,2244,Set by Comms.Fixed/Option.Main.TimeFormat,RW
Alarm.6.Output,Output,bool,0x08c5,2245,Not applicable,RO
Alarm.6.Ack,Acknowledge,bool,0x08c6,2246,Not applicable,RW
Alarm.6.Inhibit,Inhibit the alarm,bool,0x08c7,2247,Not applicable,RW
Alarm.6.StandbyInhibit,Inhibit in Standby,bool,0x08c8,2248,Not applicable,RW
RemoteInput.RangeHi,High Range,float32,0x0900,2304,Same as RemoteInput.Input,RW
RemoteInput.RangeLo,Low Range,float32,0x0901,2305,Same as RemoteInput.Input,RW
RemoteInput.ScaleHi,Scale High,float32,0x0902,2306,Same as RemoteInput.Input,RW
RemoteInput.ScaleLo,Scale Low,float32,0x0903,2307,Same as RemoteInput.Input,RW
RemoteInput.Timeout,Timeout,uint8,0x0904,2308,Not applicable,RW
RemoteInput.Resolution,Decimal Value place,uint8,0x0905,2309,Not applicable,RW
RemoteInput.Units,Units,uint8,0x0906,2310,Not applicable,RW
RemoteInput.Output,Scaled output PV,float32,0x0907,2311,Same as RemoteInput.Input,RO
RemoteInput.Status,PV status,uint8,0x0908,2312,Not applicable,RO
Zirconia.Main.ProbeState,State of the probe and function block,uint8,0x0910,2320,Not applicable,RO
Zirconia.Main.CarbonPotential,Calculated Carbon Potential,float32,0x0911,2321,2dp,RO
Zirconia.Main.DewPoint,Calculated Dew Point,float32,0x0912,2322,Same as Zirconia.Main.TemperatureIn,RO
Zirconia.Main.Oxygen,Calculated Oxygen,float32,0x0913,2323,1dp,RO
Zirconia.Main.SaturationLimit,Calculated Carbon Saturation Limit,float32,0x0914,2324,Same as Zirconia.Main.CarbonPotential,RO
Zirconia.Main.SootNotification,Saturation limit exceeded,bool,0x0915,2325,Not applicable,RO
Zirconia.Main.ProbeIn,Probe millivolts input,float32,0x0916,2326,0dp,RW
Zirconia.Main.TemperatureIn,Temperature input,float32,0x0917,2327,"1dp, or if wired, inherited from wire source",RW
Zirconia.Main.Hold,Hold the controller output,bool,0x0918,2328,Not applicable,RO
Zirconia.Main.IntBal,Trigger integral balance,bool,0x0919,2329,Not applicable,RO
Zirconia.Main.ProcessFactor,Process Factor,float32,0x091a,2330,0dp,RW
Zirconia.Main.COFactor,CO Factor,float32,0x091b,2331,1dp,RW
Zirconia.Main.H2Factor,H2 Factor,float32,0x091c,2332,1dp,RW
Zirconia.Main.OutputStatus,Status of the calculated outputs,bool,0x091d,2333,Not applicable,RO
Zirconia.Main.TempOffset,Temperature input offset,float32,0x091e,2334,Same as Zirconia.Main.TemperatureIn,RW
Zirconia.Main.ProbeOffset,Probe millivolts input offset,float32,0x091f,2335,Same as Zirconia.Main.ProbeIn,RW
Zirconia.Main.BelowMinTemp,Below minimum operating temperature,bool,0x0920,2336,Not applicable,RO
Zirconia.Config.ProbeType,Zirconia probe type,uint8,0x0928,2344,Not applicable,RW
Zirconia.Config.OxygenCalc,Oxygen calculation type,uint8,0x0929,2345,Not applicable,RW
Zirconia.Config.OxygenUnits,Oxygen output units,uint8,0x092a,2346,Not applicable,RW
Zirconia.Config.MinTemperature,Minimum operating temperature,float32,0x092b,2347,Same as Zirconia.Main.TemperatureIn,RW
Zirconia.Config.SootScalar,Soot notification scalar,float32,0x092c,2348,2dp,RW
Zirconia.Config.COIdeal,Ideal CO percent for oxygen calculation,float32,0x092d,2349,1dp,RW
Zirconia.Clean.Start,Start a probe clean,bool,0x0930,2352,Not applicable,RW
Zirconia.Clean.Abort,Abort a probe clean,bool,0x0931,2353,Not applicable,RW
Zirconia.Clean.CleanValve,Open the cleaning air valve,bool,0x0932,2354,Not applicable,RO
Zirconia.Clean.Enable,Enable probe cleaning,bool,0x0933,2355,Not applicable,RW
Zirconia.Clean.TimeToClean,Time remaining until next automatic clean,time_t,0x0934,2356,Set by Comms.Fixed/Option.Main.TimeFormat,RO
Zirconia.Clean.LastRcovTime,Time taken to recover after last burnoff,time_t,0x0935,2357,Set by Comms.Fixed/Option.Main.TimeFormat,RO
Zirconia.Clean.LastProbemV,The probe mV after the last burnoff,float32,0x0936,2358,0dp,RO
Zirconia.Clean.RecoveryNotification,Maximum recovery time was exceeded,bool,0x0937,2359,Not applicable,RO
Zirconia.Clean.TempExceeded,Maximum temperature was exceeded,bool,0x0938,2360,Not applicable,RO
Zirconia.Clean.Aborted,Last burnoff was aborted,bool,0x0939,2361,Not applicable,RO
Zirconia.Clean.BurnoffTime,Burnoff duration,time_t,0x093a,2362,Set by Comms.Fixed/Option.Main.TimeFormat,RW
Zirconia.Clean.Frequency,Automatic cleaning frequency,time_t,0x093b,2363,Set by Comms.Fixed/Option.Main.TimeFormat,RW
Zirconia.Clean.MaxTemperature,Maximum allowed temperature during burnoff,float32,0x093c,2364,Same as Zirconia.Main.TemperatureIn,RW
Zirconia.Clean.MinRcovTime,Minimum allowed recovery time,time_t,0x093d,2365,Set by Comms.Fixed/Option.Main.TimeFormat,RW
Zirconia.Clean.MaxRcovTime,Maximum allowed recovery time,time_t,0x093e,2366,Set by Comms.Fixed/Option.Main.TimeFormat,RW
Zirconia.Clean.MsgReset,Reset clean status flags,bool,0x093f,2367,Not applicable,RW
Zirconia.Impedance.Start,Start an impedance check,bool,0x0948,2376,Not applicable,RW
Zirconia.Impedance.Abort,Abort an impedance check,bool,0x0949,2377,Not applicable,RW
Zirconia.Impedance.Impedance,Measured probe impedance (kOhms),float32,0x094a,2378,1dp,RO
Zirconia.Impedance.ApplyResistor,Apply the test resistor across the probe,bool,0x094b,2379,Not applicable,RO
Zirconia.Impedance.LastRcovTime,Recovery time after last impedance check,time_t,0x094c,2380,Set by Comms.Fixed/Option.Main.TimeFormat,RO
Zirconia.Impedance.ImpedanceNotification,Measured impedance exceeds threshold.,bool,0x094d,2381,Not applicable,RO
Zirconia.Impedance.RecoveryNotification,Maximum recovery time was exceeded,bool,0x094e,2382,Not applicable,RO
Zirconia.Impedance.Aborted,Last impedance check was aborted,bool,0x094f,2383,Not applicable,RO
Zirconia.Impedance.MaxRcovTime,Maximum allowed recovery time,time_t,0x0950,2384,Set by Comms.Fixed/Option.Main.TimeFormat,RW
Zirconia.Impedance.Threshold,Impedance notification threshold (kOhms),float32,0x0951,2385,Same as Zirconia.Impedance.Impedance,RW
Zirconia.Impedance.MsgReset,Reset impedance check status flags,bool,0x0952,2386,Not applicable,RW
SwitchOver.InLow,Input Low,float32,0x0958,2392,Same as SwitchOver.In1,RW
SwitchOver.InHigh,Input High,float32,0x0959,2393,Same as SwitchOver.In1,RW
SwitchOver.SwitchHigh,Switchover High,float32,0x095a,2394,Same as SwitchOver.In1,RW
SwitchOver.SwitchLow,Switch Low,float32,0x095b,2395,Same as SwitchOver.In1,RW
SwitchOver.In1,Input 1,float32,0x095c,2396,"1dp, or if wired, inherited from wire source",RW
SwitchOver.In2,Input 2,float32,0x095d,2397,"1dp, or if wired, inherited from wire source",RW
SwitchOver.Status,Status,uint8,0x095e,2398,Not applicable,RO
SwitchOver.SelectIn,Selected Input,uint8,0x095f,2399,Not applicable,RO
SwitchOver.Out,Switchover Output,float32,0x0960,2400,Same as SwitchOver.In1,RO
SwitchOver.BadMode,Action on Selected Input BAD,bool,0x0961,2401,Not applicable,RW
SwitchOver.FallbackType,Fallback Type,uint8,0x0962,2402,Not applicable,RW
SwitchOver.FallbackValue,Fallback Value,float32,0x0963,2403,Same as SwitchOver.Out,RW
Recipe.DatasetLoad,Recipe Dataset to Load,uint8,0x0968,2408,Not applicable,RW
Recipe.DatasetSave,Recipe Dataset to Save,uint8,0x0969,2409,Not applicable,RW
Recipe.EnableAlterabilityChecks,Enable Alterability Checks,bool,0x096a,2410,Not applicable,RW
Qcode.QuickCodeExit.SaveAndExit,Quick code exit,uint8,0x097a,2426,Not applicable,RW
UsrVal.5.Units,Units of the value,uint8,0x0980,2432,Not applicable,RW
UsrVal.5.Resolution,User Value Display Resolution,uint8,0x0981,2433,Not applicable,RW
UsrVal.5.HighLimit,User Value High Limit,float32,0x0982,2434,Set by UsrVal.5.Resolution,RW
UsrVal.5.LowLimit,User Value Low Limit,float32,0x0983,2435,Set by UsrVal.5.Resolution,RW
UsrVal.5.Val,The User Value,float32,0x0984,2436,Set by UsrVal.5.Resolution,RW
UsrVal.5.Status,User Value Status,uint8,0x0985,2437,Not applicable,RW
UsrVal.6.Units,Units of the value,uint8,0x0988,2440,Not applicable,RW
UsrVal.6.Resolution,User Value Display Resolution,uint8,0x0989,2441,Not applicable,RW
UsrVal.6.HighLimit,User Value High Limit,float32,0x098a,2442,Set by UsrVal.6.Resolution,RW
UsrVal.6.LowLimit,User Value Low Limit,float32,0x098b,2443,Set by UsrVal.6.Resolution,RW
UsrVal.6.Val,The User Value,float32,0x098c,2444,Set by UsrVal.6.Resolution,RW
UsrVal.6.Status,User Value Status,uint8,0x098d,2445,Not applicable,RW
